title,link,category,description,telephone,address,roadAddress,mapx,mapy,search_input
토담골,,"한식>백반,가정식",,,경기도 수원시 장안구 파장동 578-18 1층,경기도 수원시 장안구 경수대로1073번길 24 1층,311034,523384,경기도 수원시 장안구 파장동 가정식
현정이네식당,,"한식>백반,가정식",,,경기도 수원시 장안구 파장동 595-16,경기도 수원시 장안구 경수대로1031번길 8 한국일보,311442,523255,경기도 수원시 장안구 파장동 가정식
이목식당,,"한식>백반,가정식",,,경기도 수원시 장안구 이목동 210-10,경기도 수원시 장안구 장안로 433,309873,524501,경기도 수원시 장안구 파장동 가정식
엄마밥상,,"한식>백반,가정식",,,경기도 수원시 장안구 파장동 267-1,경기도 수원시 장안구 경수대로1078번길 17-1 경진만물전자,311107,523601,경기도 수원시 장안구 파장동 가정식
행복한밥상,,"한식>백반,가정식",,,경기도 수원시 장안구 조원동 774-2,경기도 수원시 장안구 송정로 164,312842,522231,경기도 수원시 장안구 파장동 가정식
낙원<b>갈비</b>집 북수원점,https://www.instagram.com/nakwon7770,"한식>육류,고기요리",,,경기도 수원시 장안구 파장동 626-1,경기도 수원시 장안구 경수대로 1036-2,311474,523319,경기도 수원시 장안구 파장동 갈비
북수원화로,,한식>돼지고기구이,,,경기도 수원시 장안구 이목동 403-11,경기도 수원시 장안구 천천로 233 북수원화로,309659,523747,경기도 수원시 장안구 파장동 갈비
고기굽는 혀누네,https://blog.naver.com/hwj730,음식점>한식,,,경기도 수원시 장안구 이목동 865 고기굽는 혀누네,경기도 수원시 장안구 장안로 342 고기굽는 혀누네,310422,523781,경기도 수원시 장안구 파장동 갈비
한우마을,http://www.031-252-9299.ezbuilder.co.kr/,한식>소고기구이,,,경기도 수원시 장안구 이목동 323-5,경기도 수원시 장안구 장안로 368 삼중빌딩,310304,523999,경기도 수원시 장안구 파장동 갈비
북촌삼대<b>갈비</b> 북수원점,http://북촌삼대갈비.com,"한식>육류,고기요리",,,경기도 수원시 장안구 파장동 581 1~2층,경기도 수원시 장안구 파장로68번길 15 1~2층,310921,523226,경기도 수원시 장안구 파장동 갈비
우전옥 간장게장 무한리필,https://blog.naver.com/management,한식>게요리,,,경기도 수원시 장안구 파장동 328-14,경기도 수원시 장안구 파장천로 94,311497,523891,경기도 수원시 장안구 파장동 게요리
신나는대게파티 삼보무역직영점,https://www.instagram.com/crabparty_taebong0308/,음식점>게요리,,,경기도 수원시 장안구 파장동 594-11,경기도 수원시 장안구 경수대로 1051,311282,523351,경기도 수원시 장안구 파장동 게요리
게통령,https://www.instagram.com/,음식점>게요리,,,경기도 수원시 장안구 파장동 572-35 1층 게통령,경기도 수원시 장안구 파장로82번길 9 1층 게통령,310858,523272,경기도 수원시 장안구 파장동 게요리
초계명가,,음식점>한식,,,경기도 수원시 장안구 파장동 580-2,경기도 수원시 장안구 파장로82번길 6,310871,523234,경기도 수원시 장안구 파장동 게요리
안스게장 수원점,,한식>게요리,,,경기도 수원시 장안구 송죽동 495-26,경기도 수원시 장안구 경수대로973번길 13-25,312046,522826,경기도 수원시 장안구 파장동 게요리
이영철생오리,https://blog.naver.com/anzzang111,한식>오리요리,,,경기도 수원시 장안구 파장동 343-23,경기도 수원시 장안구 파장천로 121,311666,524159,경기도 수원시 장안구 파장동 고기
물레방아가든,,음식점>한식,,,경기도 수원시 장안구 이목동 188-2,경기도 수원시 장안구 장안로 476,309512,524690,경기도 수원시 장안구 파장동 고기
<b>고기</b>카페 정자점,,뷔페>고기뷔페,,,경기도 수원시 장안구 정자동 878-2 경성빌딩 2층,경기도 수원시 장안구 정자천로 171 경성빌딩 2층,311047,521963,경기도 수원시 장안구 파장동 고기뷔페
미친구이미친포차 정자점,,뷔페>고기뷔페,,,경기도 수원시 장안구 정자동 436-3,경기도 수원시 장안구 장안로 270-12,310820,523194,경기도 수원시 장안구 파장동 고기뷔페
봉달이설렁탕,https://bongdale.modoo.at,"한식>곰탕,설렁탕",,,경기도 수원시 장안구 파장동 266-12,경기도 수원시 장안구 경수대로 1076,311110,523535,경기도 수원시 장안구 파장동 곰탕
풍미우리한우,,음식점>한식,,,경기도 수원시 장안구 파장동 349-7 풍미우리한우,경기도 수원시 장안구 파장천로 139 풍미우리한우,311755,524233,경기도 수원시 장안구 파장동 곰탕
별미닭갈비막국수,,한식>닭갈비,,,경기도 수원시 장안구 송죽동 272-43,경기도 수원시 장안구 만석로 173,311439,522765,경기도 수원시 장안구 파장동 곰탕
예전각설렁탕,,"한식>곰탕,설렁탕",,,경기도 수원시 장안구 영화동 97-9,경기도 수원시 장안구 경수대로 813,313038,521822,경기도 수원시 장안구 파장동 곰탕
큰맛설렁탕 냉면,,"한식>곰탕,설렁탕",,,경기도 수원시 장안구 송죽동 503-16,경기도 수원시 장안구 송원로 39 월드타워 1층,312136,522368,경기도 수원시 장안구 파장동 곰탕
서박사<b>곱창</b>집,,"한식>곱창,막창,양",,,경기도 수원시 장안구 파장동 579-29,경기도 수원시 장안구 파장로76번길 19,310926,523259,경기도 수원시 장안구 파장동 곱창
태영생막창 파장점,,"한식>곱창,막창,양",,,경기도 수원시 장안구 파장동 586,경기도 수원시 장안구 파장천로30번길 2,311135,523387,경기도 수원시 장안구 파장동 곱창
오빠막창 파장점,,"육류,고기요리>곱창,막창,양",,,경기도 수원시 장안구 파장동 590-8 오빠막창,경기도 수원시 장안구 파장로54번길 1 오빠막창,311091,523129,경기도 수원시 장안구 파장동 곱창
정든막창,,"한식>곱창,막창,양",,,경기도 수원시 장안구 파장동 461-40,경기도 수원시 장안구 파장로21번길 6 1층,311357,522963,경기도 수원시 장안구 파장동 곱창
그집<b>곱창</b>,,"한식>곱창,막창,양",,,경기도 수원시 장안구 파장동 208-15,경기도 수원시 장안구 경수대로 1082-17,311103,523619,경기도 수원시 장안구 파장동 곱창
케빈하우스커피,http://www.instagram.com/jong9_9z,"카페,디저트>테이크아웃커피",,,경기도 수원시 장안구 파장동 327 1층,경기도 수원시 장안구 파장천로 90 1층,311465,523861,경기도 수원시 장안구 파장동 과일쥬스
메가후르츠 장안점,,"카페,디저트>과일,주스전문점",,,경기도 수원시 장안구 파장동 578-17 1층,경기도 수원시 장안구 파장천로19번길 18-10 1층,311027,523393,경기도 수원시 장안구 파장동 과일쥬스
아주좋은우리동네커피집,,"카페,디저트>카페",,,경기도 수원시 장안구 조원동 101-4,경기도 수원시 장안구 송원로 125,312659,523048,경기도 수원시 장안구 파장동 과일쥬스
쥬씨 북수원점,,"카페,디저트>과일,주스전문점",,,경기도 수원시 장안구 조원동 898-1,경기도 수원시 장안구 송원로 81,312376,522704,경기도 수원시 장안구 파장동 과일쥬스
한입<b>과일</b> 장안점,,"카페,디저트>과일,주스전문점",,,경기도 수원시 장안구 조원동 644-24 주니누리 1층,경기도 수원시 장안구 수성로381번길 20 주니누리 1층,312710,521924,경기도 수원시 장안구 파장동 과일쥬스
까까호두,,"카페,디저트>호두과자",,,경기도 수원시 장안구 파장동 580 . 동영 빌딩 108호,경기도 수원시 장안구 파장로82번길 16 (파장동. 동영 빌딩) 108호,310892,523278,경기도 수원시 장안구 파장동 과자
뜨레모아<b>과자</b>점,,"카페,디저트>베이커리",,,경기도 수원시 장안구 파장동 579-36,경기도 수원시 장안구 파장로68번길 34,310902,523309,경기도 수원시 장안구 파장동 과자
고운 맘씨,https://instagram.com/cafe_a_kind_mom?igshid=ket0hi9a0stv,"음식점>카페,디저트",,,경기도 수원시 장안구 파장동 267-3 1층 고운 맘씨,경기도 수원시 장안구 경수대로1078번길 11 1층 고운 맘씨,311093,523588,경기도 수원시 장안구 파장동 과자
올리브 베이커리 카페,http://lovelyhbc.modoo.at/,"직업,기술학원>제과,제빵",,,경기도 수원시 장안구 이목동 750 올리브 베이커리 카페,경기도 수원시 장안구 장안로386번길 15 올리브 베이커리 카페,310226,524231,경기도 수원시 장안구 파장동 과자
응응스크르 수원 장안 힐스테이트점,,"쇼핑,유통>가공식품",,,경기도 수원시 장안구 이목동 916,경기도 수원시 장안구 장안로359번길 20 근린생활시설동 지1층 107호,310149,523834,경기도 수원시 장안구 파장동 과자
곤지암소머리<b>국밥</b>,,한식>국밥,,,경기도 수원시 장안구 파장동 575,경기도 수원시 장안구 경수대로 1099,310862,523606,경기도 수원시 장안구 파장동 국밥
뺑골집,,한식>국밥,,,경기도 수원시 장안구 파장동 556-5,경기도 수원시 장안구 경수대로1107번길 10,310767,523611,경기도 수원시 장안구 파장동 국밥
대전순대24시,,"한식>순대,순댓국",,,경기도 수원시 장안구 파장동 589-5,경기도 수원시 장안구 파장로 62,311028,523134,경기도 수원시 장안구 파장동 국밥
이박사 순대국,,"한식>순대,순댓국",,,경기도 수원시 장안구 파장동 585-1,경기도 수원시 장안구 파장천로 34,311155,523424,경기도 수원시 장안구 파장동 국밥
